Serial§Event§Code region§region§Code district§district§Code village§village§Location§Date (YMD)§Comments§Cause§Description of Cause§Source§Magnitude§GLIDEnumber§Other sectors§DataCards§Deaths§Injured§Missing§Houses Destroyed§Houses Damaged§Victims§Affected§Relocated§Evacuated§Losses $USD§Losses $Local§Education centers§Hospitals§Damages in crops Ha.§Duration (d)§fichas.latitude§fichas.longitude§Formula§Dead of Male§Dead of Female§Additional Loss from Fire(NRs)§Type of Relief provided§Relief
75068§STRONG WIND§001§Eastern Region§001003005§Morang§001003005033§Belbari§Bharatpur§1975/5/22§2 people dead by fallen tree§OTHER§4:15 PM, 80-100 mile/hr§Gorkhapatra,1975-5-24,Y-75,N-18§§§§1§2§22§§§1§§§§§§§§§§§§§§§§§§
73181§RAINS§002§Central Region§002005024§Kavre§002005024005§BANEPA MUNICIPALITY§panauti§1973/10/8§§HEAVY RAINS§crop damage worth 35%of Production§Grokhapatra,1973-10-9,Y-73,N-154§§§§1§§§§§§§§§§§§§§§§§§§§§§§
75070§THUNDERSTORM§002§Central Region§002005025§Lalitpur§002005025002§Sunakothi§sunakoti-9§1975/5/22§§OTHER§§Gorkhapatra,1975-5-24,Y-75,N-18§§§§1§1§§§§§§§§§§§§§§§§§§§§§§
75072§STRONG WIND§001§Eastern Region§001003005§Morang§001003005011§Amardaha§§1975/5/27§Some Electricity Pillars were Borken, Rs 5000 Cash Lost§OTHER§§Gorkhapatra,1975-5-29,Y-75,N-23§§§§1§2§§§§2§§§§§§§§§§§§§§§§§§
75077§THUNDERSTORM§002§Central Region§002005025§Lalitpur§002005025002§Sunakothi§Sunakothi-9§1975/6/4§§OTHER§§Gorkhapatra,1975-6-5,Y-75,N-30§§§§1§§6§§§§§§§§§§§§§§§§§§§§§
73202§HAIL STORM§001§Eastern Region§001002007§Dhankuta§001002007017§BELAHARA§§1973/11/10§100 Muri Rice, 100 Muri Mustard and 50 Muri Mas§HEAVY RAINS§§Gorkhapatra,1973-11-12,Y-73,N-186§§§§1§§§§§§§§§§§§§§§§§§§§§§§
73203§HAIL STORM§001§Eastern Region§001002012§Okhaldhunga§001002012010§HARKAPUR§Ward 8 and 9§1973/11/18§10000 muri paddy, 5000 muri millet, lossed destroyed§HEAVY RAINS§§Gorkhapatra,1973-11-18,Y-73,N-192§§§§1§1§§§§§§§§§§§§§§§§§§§§§§
73204§HAIL STORM§002§Central Region§002006018§Mahotari§002006018030§Matihani§§1973/11/17§4000 Man paddy destroyed§HEAVY RAINS§§Gorkhapatra,1973-11-18,Y-73,N-192§§§§1§§§§§§§§§§§§§§§§§§§§§§§
73205§HAIL STORM§001§Eastern Region§001002007§Dhankuta§001002007007§RAJARANI§Ward 1,3,5,6,8,9§1973/11/16§2000 muri paddy lossed§OTHER§2 ft hail§Gorkhapatra,1973-11-22,Y-73,N-196§§§§1§§§§§§§§§§§§§§§§§§§§§§§
73206§HAIL STORM§002§Central Region§002005020§Sindhuli§002005020026§Shitalpati§suntoshi§1973/11/22§30% paddy lost in production §OTHER§Kalo patero§Gorkhapatra,1973-11-24,Y-73,N-198§§§§1§§§§§§§§§§§§§§§§§§§§§§§
76010§THUNDERSTORM§005§Far Western Region§005013067§Bajura§§§§1976/2/17§Losses of other property was not given§OTHER§§Gorkhapatra, 1976-2-18, Y-75, N-283§§§§1§4§§§§§§§§§§§§§§§§§§§§§§
77035§THUNDERSTORM§001§Eastern Region§001002010§Bhojpur§§§Pokhare§1977/3/25§2 Oxen were dead. One cow shed was destroyed.§OTHER§§Gorkhapatra, 1977-4-1, Y76, N319§§§§1§§§§§§§§§§§§§§§§§§§§§§§
77042§HAIL STORM§003§Western Region§003008040§Kaski§003008040023§LEKHNATH_MP§Shisuwa§1977/4/1§Hail strom damaged 90% of the wheat crops planted in 1500 ha land.§OTHER§§Gorkhapatra, 1977-4-9, Y76, N327§§§§1§§§§§§§§§§§§§§1500§§§§§§§§§
